iter,bad_orientation,base_height,total_falls,rolling50_falls,mean_reward,mean_episode_length,terrain_levels
0,0.0000,42.5417,42.5417,42.5417,-2.1900,18.0700,4.7739
1,104.1667,18.4167,122.5834,82.5626,-4.3800,46.6600,4.5420
2,44.2083,12.5000,56.7083,73.9445,-4.4100,38.2000,4.0225
3,111.0000,13.7917,124.7917,86.6563,-4.5600,48.0700,3.7155
4,53.5000,10.8333,64.3333,82.1917,-4.2900,42.2100,3.3183
5,102.0833,11.7917,113.8750,87.4722,-4.2900,46.2100,2.9906
6,69.5833,9.7083,79.2916,86.3036,-4.2800,42.4600,2.6763
7,92.5000,9.2083,101.7083,88.2292,-3.8700,44.3500,2.3786
8,81.1250,8.8333,89.9583,88.4213,-4.0300,43.0000,2.1297
9,86.3750,8.8750,95.2500,89.1042,-4.0200,46.0200,1.8771
10,89.5833,8.1667,97.7500,89.8901,-4.1300,44.9000,1.6564
11,89.4583,8.4583,97.9166,90.5590,-3.7700,41.4700,1.4321
12,91.7500,8.0833,99.8333,91.2724,-3.9100,42.3200,1.2392
13,88.5833,6.4167,95.0000,91.5387,-3.4400,42.3500,1.0510
14,101.0833,7.9583,109.0416,92.7055,-3.5500,42.2700,0.8686
15,96.6250,5.8750,102.5000,93.3177,-3.4900,39.1700,0.7067
16,101.2917,6.8333,108.1250,94.1887,-3.3900,39.0000,0.5561
17,107.9583,5.5000,113.4583,95.2592,-3.2700,37.9600,0.4262
18,105.6250,4.9583,110.5833,96.0658,-3.2700,37.4400,0.3167
19,111.0000,4.5000,115.5000,97.0375,-3.2000,36.6400,0.2260
20,113.8750,4.0000,117.8750,98.0297,-2.9400,35.4300,0.1579
21,118.8750,4.1667,123.0417,99.1667,-2.8600,34.5200,0.1070
22,116.8333,3.0833,119.9166,100.0688,-3.0800,35.6600,0.0742
23,119.8333,2.5000,122.3333,100.9965,-2.8600,33.1300,0.0459
24,126.2500,2.1667,128.4167,102.0933,-2.5400,32.2800,0.0280
25,136.3750,1.2083,137.5833,103.4583,-2.5900,31.8700,0.0158
26,138.4583,1.1667,139.6250,104.7978,-2.4300,28.9300,0.0091
27,142.2500,0.7500,143.0000,106.1622,-2.4300,28.9600,0.0049
28,148.2917,0.7500,149.0417,107.6408,-2.2900,27.6000,0.0028
29,151.1667,0.7917,151.9584,109.1180,-2.2300,27.3000,0.0020
30,154.6250,0.2500,154.8750,110.5941,-2.2600,26.2200,0.0011
31,163.8750,0.2917,164.1667,112.2682,-2.1800,24.7200,0.0007
32,164.5417,0.3750,164.9167,113.8636,-2.0200,26.3900,0.0005
33,171.3750,0.1667,171.5417,115.5600,-1.8200,23.5200,0.0003
34,176.1667,0.0000,176.1667,117.2917,-1.8900,23.4100,0.0001
35,180.0417,0.0417,180.0834,119.0359,-1.7400,23.4000,0.0000
36,184.5417,0.0000,184.5417,120.8063,-1.6900,22.2100,0.0000
37,195.7083,0.0000,195.7083,122.7774,-1.6600,21.4700,0.0000
38,213.2500,0.0000,213.2500,125.0972,-1.4900,19.3600,0.0000
39,216.2083,0.0000,216.2083,127.3750,-1.4300,18.7400,0.0000
40,222.5833,0.0000,222.5833,129.6972,-1.5000,18.6500,0.0000
41,236.7917,0.0000,236.7917,132.2470,-1.3800,17.5500,0.0000
42,243.0833,0.0000,243.0833,134.8246,-1.3100,17.2200,0.0000
43,249.2500,0.1250,249.3750,137.4280,-1.3200,16.2000,0.0000
44,260.2917,0.0000,260.2917,140.1583,-1.2300,15.6300,0.0000
45,267.4167,0.0000,267.4167,142.9248,-1.3000,15.3100,0.0000
46,274.2917,0.0000,274.2917,145.7199,-1.1900,15.2700,0.0000
47,281.1667,0.0000,281.1667,148.5417,-1.1800,14.7200,0.0000
48,296.0417,0.0000,296.0417,151.5519,-1.2000,14.4300,0.0000
49,308.6250,0.0000,308.6250,154.6933,-1.1500,13.5700,0.0000
50,320.5833,0.0000,320.5833,160.2542,-1.2000,12.3400,0.0000
51,332.9167,0.0000,332.9167,164.4608,-1.1300,12.6200,0.0000
52,332.3333,0.0000,332.3333,169.9733,-1.1300,12.6700,0.0000
53,342.5000,0.0000,342.5000,174.3275,-1.1200,11.9300,0.0000
54,347.4583,0.0000,347.4583,179.9900,-1.0900,11.8300,0.0000
55,346.4583,0.0000,346.4583,184.6417,-1.0000,11.8800,0.0000
56,352.3333,0.0000,352.3333,190.1025,-1.0400,11.6900,0.0000
57,357.5833,0.0000,357.5833,195.2200,-0.9300,11.9200,0.0000
58,358.8750,0.0000,358.8750,200.5983,-1.0100,11.5700,0.0000
59,359.4583,0.0000,359.4583,205.8825,-0.9800,11.5400,0.0000
60,363.1667,0.0000,363.1667,211.1908,-0.9800,11.2900,0.0000
61,364.0417,0.0000,364.0417,216.5133,-0.9000,11.4100,0.0000
62,368.1250,0.0000,368.1250,221.8792,-0.9500,11.4400,0.0000
63,371.5417,0.0000,371.5417,227.4100,-0.9300,11.2500,0.0000
64,369.8333,0.0000,369.8333,232.6258,-0.8900,11.3300,0.0000
65,366.0417,0.0000,366.0417,237.8967,-0.9000,11.3000,0.0000
66,359.7083,0.0000,359.7083,242.9283,-0.8300,11.5700,0.0000
67,363.0000,0.0000,363.0000,247.9192,-0.8300,11.5500,0.0000
68,361.5833,0.0000,361.5833,252.9392,-0.8200,11.6100,0.0000
69,362.0833,0.0000,362.0833,257.8708,-0.8700,11.6300,0.0000
70,361.3750,0.0000,361.3750,262.7408,-0.8300,11.7600,0.0000
71,358.6667,0.0000,358.6667,267.4533,-0.8000,11.8900,0.0000
72,360.6667,0.0000,360.6667,272.2683,-0.7800,11.9100,0.0000
73,353.4167,0.0000,353.4167,276.8900,-0.8300,11.7200,0.0000
74,353.5000,0.0417,353.5417,281.3925,-0.7400,11.8200,0.0000
75,352.1250,0.0000,352.1250,285.6833,-0.8000,11.6500,0.0000
76,351.7917,0.0000,351.7917,289.9267,-0.8200,11.6300,0.0000
77,350.8333,0.0000,350.8333,294.0833,-0.7700,11.7800,0.0000
78,355.9583,0.0000,355.9583,298.2217,-0.7700,11.9100,0.0000
79,355.8333,0.0000,355.8333,302.2992,-0.8000,11.9300,0.0000
80,343.3333,0.0000,343.3333,306.0683,-0.8200,11.9600,0.0000
81,342.2917,0.0000,342.2917,309.6308,-0.7300,12.1000,0.0000
82,334.5833,0.0000,334.5833,313.0242,-0.7400,12.2000,0.0000
83,334.7500,0.0000,334.7500,316.2883,-0.7800,12.7400,0.0000
84,326.1667,0.0000,326.1667,319.2883,-0.7400,12.7600,0.0000
85,326.9583,0.0417,327.0000,322.2267,-0.7500,12.8700,0.0000
86,325.7500,0.0000,325.7500,325.0508,-0.7400,12.8800,0.0000
87,328.6667,0.0000,328.6667,327.7100,-0.7500,12.7400,0.0000
88,328.6250,0.0000,328.6250,330.0175,-0.6700,12.6400,0.0000
89,324.0417,0.0000,324.0417,332.1742,-0.7100,12.7500,0.0000
90,316.1250,0.0000,316.1250,334.0450,-0.6800,13.2500,0.0000
91,305.7917,0.0000,305.7917,335.4250,-0.6800,13.8100,0.0000
92,301.6667,0.0000,301.6667,336.5967,-0.6200,14.0600,0.0000
93,301.0833,0.0000,301.0833,337.6308,-0.6900,14.1600,0.0000
94,301.0833,0.0000,301.0833,338.4467,-0.6600,13.9200,0.0000
95,294.3750,0.0833,294.4583,338.9875,-0.6600,14.1400,0.0000
96,291.7500,0.0000,291.7500,339.3367,-0.6600,13.8700,0.0000
97,292.3333,0.0417,292.3750,339.5608,-0.6400,14.0600,0.0000
98,292.6667,0.0000,292.6667,339.4933,-0.6600,14.4400,0.0000
99,288.2917,0.0000,288.2917,339.0867,-0.6700,14.7300,0.0000
100,279.4583,0.0000,279.4583,338.2642,-0.6000,14.7800,0.0000
101,282.8333,0.0417,282.8750,337.2633,-0.5600,14.5300,0.0000
102,273.6250,0.0417,273.6667,336.0900,-0.6200,14.8700,0.0000
103,274.6250,0.0000,274.6250,334.7325,-0.5500,14.9700,0.0000
104,274.2083,0.0417,274.2500,333.2683,-0.6500,14.8200,0.0000
105,263.8750,0.0000,263.8750,331.6167,-0.5700,15.5400,0.0000
106,260.2917,0.0833,260.3750,329.7775,-0.6400,16.4100,0.0000
107,258.5417,0.0000,258.5417,327.7967,-0.5900,15.4200,0.0000
108,247.6667,0.0000,247.6667,325.5725,-0.6200,16.6800,0.0000
109,244.7500,0.0000,244.7500,323.2783,-0.5400,17.1000,0.0000
110,253.2083,0.0000,253.2083,321.0792,-0.5200,16.7600,0.0000
111,241.6250,0.0000,241.6250,318.6308,-0.5600,17.0100,0.0000
112,253.6667,0.0000,253.6667,316.3417,-0.4900,16.3800,0.0000
113,252.2917,0.0000,252.2917,313.9567,-0.5300,16.4500,0.0000
114,246.9583,0.0000,246.9583,311.4992,-0.5900,16.5000,0.0000
115,238.6250,0.0000,238.6250,308.9508,-0.5800,17.5200,0.0000
116,239.6250,0.2917,239.9167,306.5550,-0.7000,17.7800,0.0000
117,239.0417,0.0000,239.0417,304.0758,-0.4900,17.8700,0.0000
118,234.2500,0.0000,234.2500,301.5292,-0.4600,17.4300,0.0000
119,234.8750,0.0000,234.8750,298.9850,-0.5900,17.1600,0.0000
120,233.7500,0.0417,233.7917,296.4333,-0.4800,17.9900,0.0000
121,228.2083,0.0000,228.2083,293.8242,-0.4400,18.1300,0.0000
122,226.9167,0.0000,226.9167,291.1492,-0.4800,18.2800,0.0000
123,230.7917,0.0000,230.7917,288.6967,-0.4700,17.8000,0.0000
124,226.1667,0.0000,226.1667,286.1492,-0.4100,18.3100,0.0000
125,225.8333,0.0000,225.8333,283.6233,-0.5200,17.8600,0.0000
